epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.84936,1.93565,3.5933,10.7292,1.71661,0.00333,1,0.04436,0.02314,0.00333,1,0.04436,0.02699,0.86665,1.7534,4.43393,0.93167,6e-05,6e-05,6e-05
2,2.98761,1.86671,3.87776,8.94663,1.4757,0.00333,1,0.04995,0.02349,0.00333,1,0.04995,0.02668,0.72013,1.74059,4.56478,0.91606,0.000137228,0.000137228,0.000137228
3,4.18492,1.12951,2.53715,8.57462,1.17156,0.00333,1,0.00985,0.00316,0.00333,1,0.05453,0.02476,0.73745,1.68393,4.79732,0.92239,0.000211288,0.000211288,0.000211288
4,5.44015,0.94655,2.07673,7.19873,1.02523,0.00333,1,0.00985,0.00316,0.00333,1,0.05453,0.02476,0.73745,1.68393,4.79732,0.92239,0.00028218,0.00028218,0.00028218
5,6.86467,1.26802,2.6367,5.18939,1.19357,0.00333,1,0.0098,0.00283,0.00333,1,0.05808,0.01971,0.77812,1.70168,4.93529,0.92915,0.000349904,0.000349904,0.000349904
6,8.07247,0.81231,2.42061,7.15728,1.0196,0.00333,1,0.0098,0.00283,0.00333,1,0.05808,0.01971,0.77812,1.70168,4.93529,0.92915,0.00041446,0.00041446,0.00041446
7,9.35054,1.29256,2.77763,6.74539,1.15975,0.00333,1,0.4975,0.17685,0.00333,1,0.4975,0.20322,0.88173,1.9102,5.03061,0.97714,0.000475848,0.000475848,0.000475848
8,10.6546,1.04227,2.23339,7.22153,1.00974,0.00333,1,0.4975,0.17685,0.00333,1,0.4975,0.20322,0.88173,1.9102,5.03061,0.97714,0.000534068,0.000534068,0.000534068
9,11.9508,1.07631,1.88349,6.97868,1.1551,0.00333,1,0.4975,0.17685,0.00333,1,0.4975,0.20322,0.88173,1.9102,5.03061,0.97714,0.00058912,0.00058912,0.00058912
10,13.3144,0.75522,2.19163,5.35447,0.89417,0.00333,1,0.995,0.51173,0.00333,1,0.995,0.5052,0.68013,1.98196,4.39225,0.90077,0.000641004,0.000641004,0.000641004
11,14.5415,0.92453,1.91786,4.48577,1.03027,0.00333,1,0.995,0.51173,0.00333,1,0.995,0.5052,0.68013,1.98196,4.39225,0.90077,0.00068972,0.00068972,0.00068972
12,15.8216,1.19631,2.18561,6.36172,1.11265,0.00333,1,0.995,0.51173,0.00333,1,0.995,0.5052,0.68013,1.98196,4.39225,0.90077,0.000735268,0.000735268,0.000735268
13,17.1715,1.45952,2.5746,8.21345,1.04798,0.00333,1,0.995,0.51173,0.00333,1,0.995,0.5052,0.68013,1.98196,4.39225,0.90077,0.000777648,0.000777648,0.000777648
14,18.6632,1.07747,2.25843,6.15948,1.02488,0.00333,1,0.995,0.41438,0.00333,1,0.995,0.44781,1.01342,2.57609,4.33612,0.92157,0.00081686,0.00081686,0.00081686
15,19.9608,1.05628,2.04942,6.23532,1.05566,0.00333,1,0.995,0.41438,0.00333,1,0.995,0.44781,1.01342,2.57609,4.33612,0.92157,0.000852904,0.000852904,0.000852904
16,21.2414,0.95212,2.46856,4.93955,0.97338,0.00333,1,0.995,0.41438,0.00333,1,0.995,0.44781,1.01342,2.57609,4.33612,0.92157,0.00088578,0.00088578,0.00088578
17,22.5873,1.25524,1.87005,5.3045,1.07902,0.00333,1,0.995,0.41438,0.00333,1,0.995,0.44781,1.01342,2.57609,4.33612,0.92157,0.000915488,0.000915488,0.000915488
18,23.886,0.98898,1.68973,4.69426,0.92259,0.00333,1,0.995,0.41438,0.00333,1,0.995,0.44781,1.01342,2.57609,4.33612,0.92157,0.000942028,0.000942028,0.000942028
19,25.1688,0.87784,2.19431,5.94908,1.04121,0.00333,1,0.995,0.41438,0.00333,1,0.995,0.44781,1.01342,2.57609,4.33612,0.92157,0.0009654,0.0009654,0.0009654
20,26.5359,0.97147,2.32943,5.55547,1.09189,0.00333,1,0.995,0.49709,0.00333,1,0.995,0.49913,1.03477,2.14756,4.22872,0.92176,0.000985604,0.000985604,0.000985604
21,27.9567,0.969,2.05058,7.16193,0.9968,0.00333,1,0.995,0.49709,0.00333,1,0.995,0.49913,1.03477,2.14756,4.22872,0.92176,0.00100264,0.00100264,0.00100264
22,29.2412,1.17614,2.51451,5.70438,1.01371,0.00333,1,0.995,0.49709,0.00333,1,0.995,0.49913,1.03477,2.14756,4.22872,0.92176,0.00101651,0.00101651,0.00101651
23,30.4831,0.94557,1.5061,5.18392,0.98257,0.00333,1,0.995,0.49709,0.00333,1,0.995,0.49913,1.03477,2.14756,4.22872,0.92176,0.00102721,0.00102721,0.00102721
24,31.8116,0.98831,1.63532,7.51093,1.13499,0.00333,1,0.995,0.49709,0.00333,1,0.995,0.49913,1.03477,2.14756,4.22872,0.92176,0.00103474,0.00103474,0.00103474
25,33.1353,0.88708,1.74082,4.58198,1.01102,0.00333,1,0.995,0.49709,0.00333,1,0.995,0.49913,1.03477,2.14756,4.22872,0.92176,0.0010391,0.0010391,0.0010391
26,34.4662,1.24885,2.67124,9.74045,1.14214,0.00333,1,0.995,0.49709,0.00333,1,0.995,0.49913,1.03477,2.14756,4.22872,0.92176,0.00101,0.00101,0.00101
27,35.8852,1.41074,2.04051,18.6738,1.19235,0.00333,1,0.995,0.49709,0.00333,1,0.995,0.49913,1.03477,2.14756,4.22872,0.92176,0.0009704,0.0009704,0.0009704
28,37.2195,0.9816,1.67911,7.43826,0.92695,0.00333,1,0.995,0.59617,0.00333,1,0.995,0.54663,1.00918,2.19704,3.82263,0.92023,0.0009308,0.0009308,0.0009308
29,38.5982,0.78677,1.69325,4.6985,0.98095,0.00333,1,0.995,0.59617,0.00333,1,0.995,0.54663,1.00918,2.19704,3.82263,0.92023,0.0008912,0.0008912,0.0008912
30,39.9156,1.16436,2.30255,5.22284,0.99826,0.00333,1,0.995,0.59617,0.00333,1,0.995,0.54663,1.00918,2.19704,3.82263,0.92023,0.0008516,0.0008516,0.0008516
31,41.2294,1.14469,1.78924,5.17704,1.12712,0.00333,1,0.995,0.59617,0.00333,1,0.995,0.54663,1.00918,2.19704,3.82263,0.92023,0.000812,0.000812,0.000812
32,42.5478,1.1076,1.67256,4.45235,1.02932,0.00333,1,0.995,0.59617,0.00333,1,0.995,0.54663,1.00918,2.19704,3.82263,0.92023,0.0007724,0.0007724,0.0007724
33,43.9116,0.97947,2.06942,4.04937,0.94882,0.00333,1,0.995,0.59617,0.00333,1,0.995,0.54663,1.00918,2.19704,3.82263,0.92023,0.0007328,0.0007328,0.0007328
34,45.2456,1.05305,2.32657,5.24277,1.0833,0.00333,1,0.995,0.59617,0.00333,1,0.995,0.54663,1.00918,2.19704,3.82263,0.92023,0.0006932,0.0006932,0.0006932
35,46.4849,1.41226,2.6921,12.3072,1.3292,0.00333,1,0.995,0.59617,0.00333,1,0.995,0.54663,1.00918,2.19704,3.82263,0.92023,0.0006536,0.0006536,0.0006536
36,47.7933,1.00652,1.9495,5.15893,1.10126,0.91984,1,0.995,0.67138,0.91984,1,0.995,0.46888,0.6877,2.30651,3.84674,0.87915,0.000614,0.000614,0.000614
37,49.1682,0.89652,1.58623,5.31925,0.9575,0.91984,1,0.995,0.67138,0.91984,1,0.995,0.46888,0.6877,2.30651,3.84674,0.87915,0.0005744,0.0005744,0.0005744
38,50.5022,0.88852,1.82214,6.46982,0.98375,0.91984,1,0.995,0.67138,0.91984,1,0.995,0.46888,0.6877,2.30651,3.84674,0.87915,0.0005348,0.0005348,0.0005348
39,51.872,0.94657,2.09154,4.66588,0.98421,0.91984,1,0.995,0.67138,0.91984,1,0.995,0.46888,0.6877,2.30651,3.84674,0.87915,0.0004952,0.0004952,0.0004952
40,53.1716,1.10029,1.53761,6.02192,1.06601,0.91984,1,0.995,0.67138,0.91984,1,0.995,0.46888,0.6877,2.30651,3.84674,0.87915,0.0004556,0.0004556,0.0004556
41,54.5286,1.00632,1.68769,9.53801,1.00768,0.91984,1,0.995,0.67138,0.91984,1,0.995,0.46888,0.6877,2.30651,3.84674,0.87915,0.000416,0.000416,0.000416
42,55.8874,1.00449,1.94777,8.04074,1.1072,0.91984,1,0.995,0.67138,0.91984,1,0.995,0.46888,0.6877,2.30651,3.84674,0.87915,0.0003764,0.0003764,0.0003764
43,57.3102,0.92334,2.08305,8.84266,0.9734,0.91984,1,0.995,0.67138,0.91984,1,0.995,0.46888,0.6877,2.30651,3.84674,0.87915,0.0003368,0.0003368,0.0003368
44,58.6669,1.00814,1.91916,7.68211,1.01898,0.87368,1,0.995,0.84554,0.87368,1,0.995,0.5723,0.62524,1.9307,3.63779,0.86372,0.0002972,0.0002972,0.0002972
45,60.0203,0.9112,1.64434,7.46109,0.94254,0.87368,1,0.995,0.84554,0.87368,1,0.995,0.5723,0.62524,1.9307,3.63779,0.86372,0.0002576,0.0002576,0.0002576
46,61.304,0.62505,1.38466,6.21066,0.86551,0.87368,1,0.995,0.84554,0.87368,1,0.995,0.5723,0.62524,1.9307,3.63779,0.86372,0.000218,0.000218,0.000218
47,62.5183,0.77449,1.48516,6.4645,0.90972,0.87368,1,0.995,0.84554,0.87368,1,0.995,0.5723,0.62524,1.9307,3.63779,0.86372,0.0001784,0.0001784,0.0001784
48,63.7743,0.97135,1.79506,8.64697,1.03485,0.87368,1,0.995,0.84554,0.87368,1,0.995,0.5723,0.62524,1.9307,3.63779,0.86372,0.0001388,0.0001388,0.0001388
49,64.9849,0.91332,1.52509,6.91823,0.91897,0.87368,1,0.995,0.84554,0.87368,1,0.995,0.5723,0.62524,1.9307,3.63779,0.86372,9.92e-05,9.92e-05,9.92e-05
50,66.2245,0.98172,1.91882,8.37835,1.11219,0.87368,1,0.995,0.84554,0.87368,1,0.995,0.5723,0.62524,1.9307,3.63779,0.86372,5.96e-05,5.96e-05,5.96e-05
